"Id";"Identificador";"Paquete";"Cantidad";"Identificación";"Suministrador y ref";
1;"RV1,RV2";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";2;"100K";;;
2;"J5,J6";"Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical";2;"OUT";;;
3;"J4,J1,J2,J3";"Jack_3.5mm_QingPu_WQP-PJ301M-12_Vertical";4;"CV IN";;;
4;"R31,R34,R30,R8,R32,R9,R11,R7,R33,R10,R27";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";11;"100K";;;
5;"C6,C7";"CP_Radial_D4.0mm_P2.00mm";2;"CP1";;;
6;"R19,R20,R26,R25,R29,R28";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";6;"10K";;;
7;"R17,R22,R18,R1,R21";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";5;"20K";;;
8;"U2";"DIP-14_W7.62mm_Socket";1;"TL074";;;
9;"R16";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"64k";;;
10;"R23,R24,R13,R14";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";4;"100";;;
11;"J7";"IDC-Header_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
12;"C1,C2";"C_Disc_D5.0mm_W2.5mm_P5.00mm";2;"10u";;;
13;"D1,D2";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N5819";;;
14;"R36,R35";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"1K";;;
15;"Q2,Q3,Q1,Q4";"TO-92_Inline";4;"BC548";;;
16;"C4,C8";"C_Disc_D5.0mm_W2.5mm_P5.00mm";2;"100n";;;
17;"RV4,RV3";"Potentiometer_Bourns_3296Y_Vertical";2;"100K";;;
18;"R15";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"82k";;;
